sample_idx,t_s,t_rel_peak_s,ecg_mv
59500,595,-5,0.2583
59501,595.01,-4.99,0.1786
59502,595.02,-4.98,0.1114
59503,595.03,-4.97,0.0158
59504,595.04,-4.96,-0.0308
59505,595.05,-4.95,0.0307
59506,595.06,-4.94,0.0431
59507,595.07,-4.93,0.0759
59508,595.08,-4.92,0.044
59509,595.09,-4.91,0.0465
59510,595.1,-4.9,0.019
59511,595.11,-4.89,0.1493
59512,595.12,-4.88,0.1382
59513,595.13,-4.87,-0.0063
59514,595.14,-4.86,0.0446
59515,595.15,-4.85,-0.022
59516,595.16,-4.84,-0.0058
59517,595.17,-4.83,0.0546
59518,595.18,-4.82,-0.0069
59519,595.19,-4.81,-0.0461
59520,595.2,-4.8,-0.0092
59521,595.21,-4.79,0.0633
59522,595.22,-4.78,0.786
59523,595.23,-4.77,2.2592
59524,595.24,-4.76,4.4819
59525,595.25,-4.75,2.3649
59526,595.26,-4.74,-1.2976
59527,595.27,-4.73,-0.4123
59528,595.28,-4.72,-0.1835
59529,595.29,-4.71,-0.33
59530,595.3,-4.7,-0.2749
59531,595.31,-4.69,-0.2263
59532,595.32,-4.68,-0.4113
59533,595.33,-4.67,-0.4133
59534,595.34,-4.66,-0.3193
59535,595.35,-4.65,-0.3147
59536,595.36,-4.64,-0.2699
59537,595.37,-4.63,-0.2043
59538,595.38,-4.62,-0.2406
59539,595.39,-4.61,-0.3511
59540,595.4,-4.6,-0.2829
59541,595.41,-4.59,-0.3004
59542,595.42,-4.58,-0.3139
59543,595.43,-4.57,-0.2832
59544,595.44,-4.56,-0.1533
59545,595.45,-4.55,0.1217
59546,595.46,-4.54,0.0845
59547,595.47,-4.53,0.2249
59548,595.48,-4.52,0.5995
59549,595.49,-4.51,0.7438
59550,595.5,-4.5,0.792
59551,595.51,-4.49,0.8405
59552,595.52,-4.48,0.7134
59553,595.53,-4.47,0.5294
59554,595.54,-4.46,0.4575
59555,595.55,-4.45,0.5351
59556,595.56,-4.44,0.4249
59557,595.57,-4.43,0.2843
59558,595.58,-4.42,0.2034
59559,595.59,-4.41,0.0646
59560,595.6,-4.4,-0.0865
59561,595.61,-4.39,-0.0738
59562,595.62,-4.38,-0.1825
59563,595.63,-4.37,-0.2563
59564,595.64,-4.36,-0.1215
59565,595.65,-4.35,-0.1682
59566,595.66,-4.34,-0.1579
59567,595.67,-4.33,-0.0546
59568,595.68,-4.32,0.0147
59569,595.69,-4.31,0.0977
59570,595.7,-4.3,0.2183
59571,595.71,-4.29,0.2662
59572,595.72,-4.28,0.4849
59573,595.73,-4.27,0.1
59574,595.74,-4.26,0.051
59575,595.75,-4.25,0.6932
59576,595.76,-4.24,-0.2536
59577,595.77,-4.23,0.0336
59578,595.78,-4.22,0.5282
59579,595.79,-4.21,0.3549
59580,595.8,-4.2,0.0784
59581,595.81,-4.19,0.2297
59582,595.82,-4.18,1.6856
59583,595.83,-4.17,3.5294
59584,595.84,-4.16,4.3197
59585,595.85,-4.15,0.6801
59586,595.86,-4.14,-0.9465
59587,595.87,-4.13,-0.3042
59588,595.88,-4.12,-0.2944
59589,595.89,-4.11,-0.0926
59590,595.9,-4.1,-0.2132
59591,595.91,-4.09,-0.2411
59592,595.92,-4.08,-0.2196
59593,595.93,-4.07,-0.1939
59594,595.94,-4.06,-0.188
59595,595.95,-4.05,-0.2268
59596,595.96,-4.04,-0.1879
59597,595.97,-4.03,-0.1422
59598,595.98,-4.02,-0.1084
59599,595.99,-4.01,-0.2401
59600,596,-4,-0.3096
59601,596.01,-3.99,-0.2181
59602,596.02,-3.98,-0.2096
59603,596.03,-3.97,-0.2595
59604,596.04,-3.96,-0.0715
59605,596.05,-3.95,0.2107
59606,596.06,-3.94,0.2038
59607,596.07,-3.93,0.2428
59608,596.08,-3.92,0.3346
59609,596.09,-3.91,0.4617
59610,596.1,-3.9,0.7483
59611,596.11,-3.89,0.633
59612,596.12,-3.88,0.4057
59613,596.13,-3.87,0.3321
59614,596.14,-3.86,0.2003
59615,596.15,-3.85,0.164
59616,596.16,-3.84,0.0733
59617,596.17,-3.83,-0.0776
59618,596.18,-3.82,-0.059
59619,596.19,-3.81,-0.0406
59620,596.2,-3.8,-0.1007
59621,596.21,-3.79,-0.0258
59622,596.22,-3.78,-0.0701
59623,596.23,-3.77,-0.1286
59624,596.24,-3.76,-0.106
59625,596.25,-3.75,-0.0217
59626,596.26,-3.74,-0.2163
59627,596.27,-3.73,0.0668
59628,596.28,-3.72,0.0512
59629,596.29,-3.71,-0.0771
59630,596.3,-3.7,0.0425
59631,596.31,-3.69,0.0434
59632,596.32,-3.68,0.1606
59633,596.33,-3.67,0.2812
59634,596.34,-3.66,0.0959
59635,596.35,-3.65,-0.291
59636,596.36,-3.64,0.1368
59637,596.37,-3.63,0.1706
59638,596.38,-3.62,-0.1017
59639,596.39,-3.61,0.043
59640,596.4,-3.6,0.112
59641,596.41,-3.59,0.233
59642,596.42,-3.58,1.1808
59643,596.43,-3.57,2.8593
59644,596.44,-3.56,4.3018
59645,596.45,-3.55,0.9298
59646,596.46,-3.54,-1.2291
59647,596.47,-3.53,-0.1013
59648,596.48,-3.52,-0.013
59649,596.49,-3.51,0.0138
59650,596.5,-3.5,-0.2065
59651,596.51,-3.49,-0.0462
59652,596.52,-3.48,0.0162
59653,596.53,-3.47,-0.0198
59654,596.54,-3.46,-0.0499
59655,596.55,-3.45,0.0056
59656,596.56,-3.44,-0.0854
59657,596.57,-3.43,-0.1052
59658,596.58,-3.42,-0.1959
59659,596.59,-3.41,-0.2176
59660,596.6,-3.4,-0.0133
59661,596.61,-3.39,-0.0496
59662,596.62,-3.38,-0.091
