sample_idx,t_s,t_rel_peak_s,ecg_mv
0,0,-600,-0.0247
1,0.01,-599.99,-0.0329
2,0.02,-599.98,-0.0481
3,0.03,-599.97,-0.0391
4,0.04,-599.96,-0.0362
5,0.05,-599.95,-0.03
6,0.06,-599.94,-0.0148
7,0.07,-599.93,-0.0248
8,0.08,-599.92,-0.0142
9,0.09,-599.91,-0.0119
10,0.1,-599.9,-0.0314
11,0.11,-599.89,-0.0057
12,0.12,-599.88,0.0068
13,0.13,-599.87,0.0234
14,0.14,-599.86,0.0774
15,0.15,-599.85,0.119
16,0.16,-599.84,0.1262
17,0.17,-599.83,0.1425
18,0.18,-599.82,0.121
19,0.19,-599.81,0.1139
20,0.2,-599.8,0.1084
21,0.21,-599.79,0.0791
22,0.22,-599.78,0.0526
23,0.23,-599.77,0.0439
24,0.24,-599.76,0.046
25,0.25,-599.75,0.0407
26,0.26,-599.74,0.0564
27,0.27,-599.73,0.0612
28,0.28,-599.72,0.0362
29,0.29,-599.71,0.0421
30,0.3,-599.7,0.0199
31,0.31,-599.69,0.0355
32,0.32,-599.68,0.0516
33,0.33,-599.67,0.0294
34,0.34,-599.66,0.0369
35,0.35,-599.65,0.0101
36,0.36,-599.64,-0.0065
37,0.37,-599.63,-0.0111
38,0.38,-599.62,0.0095
39,0.39,-599.61,-0.0243
40,0.4,-599.6,-0.0435
41,0.41,-599.59,-0.0202
42,0.42,-599.58,-0.0261
43,0.43,-599.57,-0.0193
44,0.44,-599.56,-0.0493
45,0.45,-599.55,-0.0487
46,0.46,-599.54,-0.033
47,0.47,-599.53,-0.049
48,0.48,-599.52,-0.0046
49,0.49,-599.51,0.023
50,0.5,-599.5,0.0503
51,0.51,-599.49,0.0649
52,0.52,-599.48,0.0991
53,0.53,-599.47,0.0751
54,0.54,-599.46,0.054
55,0.55,-599.45,0.0498
56,0.56,-599.44,0.0282
57,0.57,-599.43,-0.0257
58,0.58,-599.42,-0.0407
59,0.59,-599.41,-0.0495
60,0.6,-599.4,-0.0312
61,0.61,-599.39,-0.0276
62,0.62,-599.38,-0.0243
63,0.63,-599.37,-0.024
64,0.64,-599.36,0.0375
65,0.65,-599.35,0.6375
66,0.66,-599.34,1.6348
67,0.67,-599.33,1.2747
68,0.68,-599.32,-0.2445
69,0.69,-599.31,-0.6991
70,0.7,-599.3,-0.491
71,0.71,-599.29,-0.2954
72,0.72,-599.28,-0.1622
73,0.73,-599.27,-0.092
74,0.74,-599.26,-0.0531
75,0.75,-599.25,-0.0646
76,0.76,-599.24,-0.0569
77,0.77,-599.23,-0.0606
78,0.78,-599.22,-0.0586
79,0.79,-599.21,-0.0608
80,0.8,-599.2,-0.0632
81,0.81,-599.19,-0.0638
82,0.82,-599.18,-0.0677
83,0.83,-599.17,-0.0652
84,0.84,-599.16,-0.0771
85,0.85,-599.15,-0.0839
86,0.86,-599.14,-0.0689
87,0.87,-599.13,-0.0789
88,0.88,-599.12,-0.0704
89,0.89,-599.11,-0.0586
90,0.9,-599.1,-0.0619
91,0.91,-599.09,-0.0824
92,0.92,-599.08,-0.0881
93,0.93,-599.07,-0.0897
94,0.94,-599.06,-0.0931
95,0.95,-599.05,-0.0779
96,0.96,-599.04,-0.0476
97,0.97,-599.03,-0.003
98,0.98,-599.02,0.0613
99,0.99,-599.01,0.096
100,1,-599,0.0888
101,1.01,-598.99,0.0911
102,1.02,-598.98,0.0706
103,1.03,-598.97,0.077
104,1.04,-598.96,0.0598
105,1.05,-598.95,0.0553
106,1.06,-598.94,0.0527
107,1.07,-598.93,0.0491
108,1.08,-598.92,0.0465
109,1.09,-598.91,0.0449
110,1.1,-598.9,0.0432
111,1.11,-598.89,0.0425
112,1.12,-598.88,0.0392
113,1.13,-598.87,0.0405
114,1.14,-598.86,0.0224
115,1.15,-598.85,0.0136
116,1.16,-598.84,0.0154
117,1.17,-598.83,0.013
118,1.18,-598.82,0.014
119,1.19,-598.81,-0.0052
120,1.2,-598.8,-0.0083
121,1.21,-598.79,-0.0053
122,1.22,-598.78,-0.0195
123,1.23,-598.77,-0.0292
124,1.24,-598.76,-0.0204
125,1.25,-598.75,-0.037
126,1.26,-598.74,-0.0295
127,1.27,-598.73,-0.0215
128,1.28,-598.72,-0.0383
129,1.29,-598.71,-0.0062
130,1.3,-598.7,0.0162
131,1.31,-598.69,0.0471
132,1.32,-598.68,0.065
133,1.33,-598.67,0.0769
134,1.34,-598.66,0.0943
135,1.35,-598.65,0.07
136,1.36,-598.64,0.0557
137,1.37,-598.63,0.0406
138,1.38,-598.62,-0.0168
139,1.39,-598.61,-0.0523
140,1.4,-598.6,-0.0466
141,1.41,-598.59,-0.0472
142,1.42,-598.58,-0.0303
143,1.43,-598.57,-0.0325
144,1.44,-598.56,-0.0315
145,1.45,-598.55,-0.0544
146,1.46,-598.54,0.1686
147,1.47,-598.53,1.0809
148,1.48,-598.52,1.8286
149,1.49,-598.51,0.8228
150,1.5,-598.5,-0.5862
151,1.51,-598.49,-0.6954
152,1.52,-598.48,-0.3666
153,1.53,-598.47,-0.17
154,1.54,-598.46,-0.0905
155,1.55,-598.45,-0.0748
156,1.56,-598.44,-0.0734
157,1.57,-598.43,-0.0539
158,1.58,-598.42,-0.0591
159,1.59,-598.41,-0.073
160,1.6,-598.4,-0.0589
161,1.61,-598.39,-0.0588
162,1.62,-598.38,-0.06
163,1.63,-598.37,-0.0612
164,1.64,-598.36,-0.061
165,1.65,-598.35,-0.0641
166,1.66,-598.34,-0.0495
167,1.67,-598.33,-0.0414
168,1.68,-598.32,-0.0476
169,1.69,-598.31,-0.0357
170,1.7,-598.3,-0.0236
171,1.71,-598.29,-0.0301
172,1.72,-598.28,-0.0221
173,1.73,-598.27,-0.0081
174,1.74,-598.26,-0.0116
175,1.75,-598.25,-0.0124
176,1.76,-598.24,-0.0111
177,1.77,-598.23,0.0232
178,1.78,-598.22,0.0751
179,1.79,-598.21,0.0867
180,1.8,-598.2,0.1238
181,1.81,-598.19,0.1091
182,1.82,-598.18,0.0963
183,1.83,-598.17,0.0805
184,1.84,-598.16,0.0702
185,1.85,-598.15,0.0433
186,1.86,-598.14,0.0298
187,1.87,-598.13,0.0342
188,1.88,-598.12,0.0237
189,1.89,-598.11,0.0085
190,1.9,-598.1,0.0087
191,1.91,-598.09,0.0096
192,1.92,-598.08,0.0047
193,1.93,-598.07,0.0189
194,1.94,-598.06,0.0146
195,1.95,-598.05,0.0027
196,1.96,-598.04,0.007
197,1.97,-598.03,0.0032
198,1.98,-598.02,0.0054
199,1.99,-598.01,-0.0147
200,2,-598,-0.0166
201,2.01,-597.99,-0.0162
202,2.02,-597.98,-0.0161
203,2.03,-597.97,0.0171
204,2.04,-597.96,0.0081
205,2.05,-597.95,-0.0052
206,2.06,-597.94,-0.0153
207,2.07,-597.93,-0.013
208,2.08,-597.92,-0.0105
209,2.09,-597.91,-0.0199
210,2.1,-597.9,-0.032
211,2.11,-597.89,-0.0069
212,2.12,-597.88,0.0205
213,2.13,-597.87,0.0463
214,2.14,-597.86,0.0757
215,2.15,-597.85,0.0977
216,2.16,-597.84,0.1082
217,2.17,-597.83,0.0845
218,2.18,-597.82,0.0637
219,2.19,-597.81,0.0668
220,2.2,-597.8,-0.0015
221,2.21,-597.79,-0.0408
222,2.22,-597.78,-0.0452
223,2.23,-597.77,-0.0464
224,2.24,-597.76,-0.0556
225,2.25,-597.75,-0.0374
226,2.26,-597.74,-0.0361
227,2.27,-597.73,-0.0569
228,2.28,-597.72,0.0485
229,2.29,-597.71,0.836
230,2.3,-597.7,1.7633
231,2.31,-597.69,1.1257
232,2.32,-597.68,-0.435
233,2.33,-597.67,-0.7847
234,2.34,-597.66,-0.4081
235,2.35,-597.65,-0.1842
236,2.36,-597.64,-0.0873
237,2.37,-597.63,-0.059
238,2.38,-597.62,-0.0618
239,2.39,-597.61,-0.0615
240,2.4,-597.6,-0.0619
241,2.41,-597.59,-0.0645
242,2.42,-597.58,-0.0628
243,2.43,-597.57,-0.0687
244,2.44,-597.56,-0.0587
245,2.45,-597.55,-0.0571
246,2.46,-597.54,-0.0711
247,2.47,-597.53,-0.0705
248,2.48,-597.52,-0.0647
249,2.49,-597.51,-0.0509
250,2.5,-597.5,-0.0386
251,2.51,-597.49,-0.0312
252,2.52,-597.48,-0.0341
253,2.53,-597.47,-0.0373
254,2.54,-597.46,-0.0222
255,2.55,-597.45,-0.0189
256,2.56,-597.44,-0.0157
257,2.57,-597.43,-0.0013
258,2.58,-597.42,0.0066
259,2.59,-597.41,0.037
260,2.6,-597.4,0.0759
261,2.61,-597.39,0.1
262,2.62,-597.38,0.1221
263,2.63,-597.37,0.1447
264,2.64,-597.36,0.1167
265,2.65,-597.35,0.1014
266,2.66,-597.34,0.0871
267,2.67,-597.33,0.056
268,2.68,-597.32,0.0349
269,2.69,-597.31,0.0366
270,2.7,-597.3,0.0199
271,2.71,-597.29,0.0111
272,2.72,-597.28,0.0141
273,2.73,-597.27,0.0104
274,2.74,-597.26,0.0132
275,2.75,-597.25,0.0074
276,2.76,-597.24,0.0174
277,2.77,-597.23,0.0201
278,2.78,-597.22,0.0033
279,2.79,-597.21,0.0076
280,2.8,-597.2,0.0028
281,2.81,-597.19,0.005
282,2.82,-597.18,0.0016
283,2.83,-597.17,0.006
284,2.84,-597.16,-0.0026
285,2.85,-597.15,-0.0147
286,2.86,-597.14,-0.0267
287,2.87,-597.13,-0.0348
288,2.88,-597.12,-0.0291
289,2.89,-597.11,-0.0307
290,2.9,-597.1,-0.0254
291,2.91,-597.09,-0.0445
292,2.92,-597.08,-0.0419
293,2.93,-597.07,-0.0433
294,2.94,-597.06,-0.0101
295,2.95,-597.05,0.0456
296,2.96,-597.04,0.0512
297,2.97,-597.03,0.086
298,2.98,-597.02,0.0945
299,2.99,-597.01,0.1018
300,3,-597,0.0899
301,3.01,-596.99,0.0621
302,3.02,-596.98,0.0448
303,3.03,-596.97,-0.0332
304,3.04,-596.96,-0.0389
305,3.05,-596.95,-0.0311
306,3.06,-596.94,-0.0436
307,3.07,-596.93,-0.0338
308,3.08,-596.92,-0.0366
309,3.09,-596.91,-0.026
310,3.1,-596.9,-0.0388
311,3.11,-596.89,0.2729
312,3.12,-596.88,1.2598
313,3.13,-596.87,1.6952
314,3.14,-596.86,0.4207
315,3.15,-596.85,-0.7453
316,3.16,-596.84,-0.6362
317,3.17,-596.83,-0.3087
318,3.18,-596.82,-0.1402
319,3.19,-596.81,-0.0747
320,3.2,-596.8,-0.0455
321,3.21,-596.79,-0.0509
322,3.22,-596.78,-0.0471
323,3.23,-596.77,-0.0498
324,3.24,-596.76,-0.0508
325,3.25,-596.75,-0.0533
326,3.26,-596.74,-0.0554
327,3.27,-596.73,-0.0578
328,3.28,-596.72,-0.0597
329,3.29,-596.71,-0.0614
330,3.3,-596.7,-0.0636
331,3.31,-596.69,-0.0477
332,3.32,-596.68,-0.0452
333,3.33,-596.67,-0.0511
334,3.34,-596.66,-0.0361
335,3.35,-596.65,-0.0306
336,3.36,-596.64,-0.0357
337,3.37,-596.63,-0.0359
338,3.38,-596.62,-0.0408
339,3.39,-596.61,-0.023
340,3.4,-596.6,-0.0254
341,3.41,-596.59,-0.02
342,3.42,-596.58,0.0178
343,3.43,-596.57,0.0542
344,3.44,-596.56,0.1041
345,3.45,-596.55,0.1103
346,3.46,-596.54,0.1225
347,3.47,-596.53,0.1122
348,3.48,-596.52,0.0944
349,3.49,-596.51,0.0827
350,3.5,-596.5,0.0505
351,3.51,-596.49,0.0461
352,3.52,-596.48,0.0372
353,3.53,-596.47,0.018
354,3.54,-596.46,0.021
355,3.55,-596.45,0.0174
356,3.56,-596.44,0.023
357,3.57,-596.43,0.0418
358,3.58,-596.42,0.0198
359,3.59,-596.41,0.0322
360,3.6,-596.4,0.0336
361,3.61,-596.39,0.0339
362,3.62,-596.38,0.0173
363,3.63,-596.37,0.0252
364,3.64,-596.36,0.0105
365,3.65,-596.35,0.0104
366,3.66,-596.34,-0.0038
367,3.67,-596.33,-0.0133
368,3.68,-596.32,-0.0061
369,3.69,-596.31,-0.0197
370,3.7,-596.3,-0.0297
371,3.71,-596.29,-0.0267
372,3.72,-596.28,-0.0258
373,3.73,-596.27,-0.0258
374,3.74,-596.26,-0.0215
375,3.75,-596.25,-0.0422
376,3.76,-596.24,-0.0328
377,3.77,-596.23,-0.0184
378,3.78,-596.22,0.0118
379,3.79,-596.21,0.0338
380,3.8,-596.2,0.0477
381,3.81,-596.19,0.0603
382,3.82,-596.18,0.0931
383,3.83,-596.17,0.0764
384,3.84,-596.16,0.0384
385,3.85,-596.15,0.037
386,3.86,-596.14,-0.0057
387,3.87,-596.13,-0.0503
388,3.88,-596.12,-0.0505
389,3.89,-596.11,-0.0465
390,3.9,-596.1,-0.0446
391,3.91,-596.09,-0.0242
392,3.92,-596.08,-0.0202
393,3.93,-596.07,-0.0533
394,3.94,-596.06,0.1439
395,3.95,-596.05,1.0283
396,3.96,-596.04,1.7116
397,3.97,-596.03,0.6967
398,3.98,-596.02,-0.639
399,3.99,-596.01,-0.6935
400,4,-596,-0.3429
401,4.01,-595.99,-0.1556
402,4.02,-595.98,-0.0934
403,4.03,-595.97,-0.0453
404,4.04,-595.96,-0.0425
405,4.05,-595.95,-0.0432
406,4.06,-595.94,-0.0436
407,4.07,-595.93,-0.0454
408,4.08,-595.92,-0.0475
409,4.09,-595.91,-0.0496
410,4.1,-595.9,-0.0532
411,4.11,-595.89,-0.0544
412,4.12,-595.88,-0.0599
413,4.13,-595.87,-0.0511
414,4.14,-595.86,-0.0399
415,4.15,-595.85,-0.0485
416,4.16,-595.84,-0.0418
417,4.17,-595.83,-0.0292
418,4.18,-595.82,-0.0341
419,4.19,-595.81,-0.0357
420,4.2,-595.8,-0.0389
421,4.21,-595.79,-0.0412
422,4.22,-595.78,-0.044
423,4.23,-595.77,-0.03
424,4.24,-595.76,-0.0242
425,4.25,-595.75,-0.0045
426,4.26,-595.74,0.0323
427,4.27,-595.73,0.0976
428,4.28,-595.72,0.1246
429,4.29,-595.71,0.1356
430,4.3,-595.7,0.131
431,4.31,-595.69,0.1086
432,4.32,-595.68,0.0554
433,4.33,-595.67,0.0428
434,4.34,-595.66,0.0235
435,4.35,-595.65,0.0316
436,4.36,-595.64,0.0348
437,4.37,-595.63,0.0304
438,4.38,-595.62,0.0313
439,4.39,-595.61,0.0301
440,4.4,-595.6,0.0525
441,4.41,-595.59,0.0376
442,4.42,-595.58,0.0263
443,4.43,-595.57,0.01
444,4.44,-595.56,0.0049
445,4.45,-595.55,0.0065
446,4.46,-595.54,0.0042
447,4.47,-595.53,0.0226
448,4.48,-595.52,0.0266
449,4.49,-595.51,0.0165
450,4.5,-595.5,-0.0116
451,4.51,-595.49,-0.0161
452,4.52,-595.48,-0.0147
453,4.53,-595.47,-0.0156
454,4.54,-595.46,-0.0139
455,4.55,-595.45,-0.0148
456,4.56,-595.44,-0.0103
457,4.57,-595.43,-0.021
458,4.58,-595.42,-0.0325
459,4.59,-595.41,-0.0267
460,4.6,-595.4,-0.0286
461,4.61,-595.39,-0.0162
462,4.62,-595.38,0.0144
463,4.63,-595.37,0.039
464,4.64,-595.36,0.0711
465,4.65,-595.35,0.0859
466,4.66,-595.34,0.091
467,4.67,-595.33,0.0678
468,4.68,-595.32,0.0381
469,4.69,-595.31,0.0529
470,4.7,-595.3,0.0072
471,4.71,-595.29,-0.0344
472,4.72,-595.28,-0.0142
473,4.73,-595.27,-0.021
474,4.74,-595.26,-0.0454
475,4.75,-595.25,-0.0326
476,4.76,-595.24,-0.0184
477,4.77,-595.23,-0.0386
478,4.78,-595.22,0.173
479,4.79,-595.21,1.0465
480,4.8,-595.2,1.6733
481,4.81,-595.19,0.6282
482,4.82,-595.18,-0.6876
483,4.83,-595.17,-0.7006
484,4.84,-595.16,-0.3414
485,4.85,-595.15,-0.1691
486,4.86,-595.14,-0.1036
487,4.87,-595.13,-0.0591
488,4.88,-595.12,-0.0733
489,4.89,-595.11,-0.0735
490,4.9,-595.1,-0.0585
491,4.91,-595.09,-0.0628
492,4.92,-595.08,-0.06
493,4.93,-595.07,-0.063
494,4.94,-595.06,-0.0613
495,4.95,-595.05,-0.0652
496,4.96,-595.04,-0.0609
497,4.97,-595.03,-0.0764
498,4.98,-595.02,-0.0741
499,4.99,-595.01,-0.0621
500,5,-595,-0.0707
501,5.01,-594.99,-0.0565
502,5.02,-594.98,-0.0465
503,5.03,-594.97,-0.0498
504,5.04,-594.96,-0.0495
505,5.05,-594.95,-0.0519
506,5.06,-594.94,-0.0524
507,5.07,-594.93,-0.0377
508,5.08,-594.92,-0.03
509,5.09,-594.91,-0.009
510,5.1,-594.9,0.0299
511,5.11,-594.89,0.0633
512,5.12,-594.88,0.1033
513,5.13,-594.87,0.1206
514,5.14,-594.86,0.0996
515,5.15,-594.85,0.0918
516,5.16,-594.84,0.0661
517,5.17,-594.83,0.0474
518,5.18,-594.82,0.0494
519,5.19,-594.81,0.0274
520,5.2,-594.8,0.0235
521,5.21,-594.79,0.0229
522,5.22,-594.78,0.0204
523,5.23,-594.77,0.0221
524,5.24,-594.76,0.039
525,5.25,-594.75,0.0374
526,5.26,-594.74,0.0357
527,5.27,-594.73,0.0355
528,5.28,-594.72,0.0324
529,5.29,-594.71,0.0352
530,5.3,-594.7,0.0169
531,5.31,-594.69,0.0112
532,5.32,-594.68,0.0062
533,5.33,-594.67,-0.0125
534,5.34,-594.66,-0.0071
535,5.35,-594.65,-0.0114
536,5.36,-594.64,-0.028
537,5.37,-594.63,-0.0273
538,5.38,-594.62,-0.0262
539,5.39,-594.61,-0.0256
540,5.4,-594.6,-0.0241
541,5.41,-594.59,-0.0239
542,5.42,-594.58,-0.0212
543,5.43,-594.57,-0.0219
544,5.44,-594.56,-0.0091
545,5.45,-594.55,0.0395
546,5.46,-594.54,0.0457
547,5.47,-594.53,0.0697
548,5.48,-594.52,0.0934
549,5.49,-594.51,0.0887
550,5.5,-594.5,0.046
551,5.51,-594.49,0.0551
552,5.52,-594.48,0.0352
553,5.53,-594.47,-0.0177
554,5.54,-594.46,-0.0496
555,5.55,-594.45,-0.0494
556,5.56,-594.44,-0.0484
557,5.57,-594.43,-0.0342
558,5.58,-594.42,-0.019
559,5.59,-594.41,-0.0216
560,5.6,-594.4,0.0055
561,5.61,-594.39,0.4838
562,5.62,-594.38,1.4539
563,5.63,-594.37,1.3828
564,5.64,-594.36,-0.0896
565,5.65,-594.35,-0.7834
566,5.66,-594.34,-0.5095
567,5.67,-594.33,-0.2433
568,5.68,-594.32,-0.1206
569,5.69,-594.31,-0.0638
570,5.7,-594.3,-0.0364
571,5.71,-594.29,-0.0448
572,5.72,-594.28,-0.0378
573,5.73,-594.27,-0.0423
574,5.74,-594.26,-0.0397
575,5.75,-594.25,-0.0447
576,5.76,-594.24,-0.0374
577,5.77,-594.23,-0.0243
578,5.78,-594.22,-0.026
579,5.79,-594.21,-0.0474
580,5.8,-594.2,-0.0442
581,5.81,-594.19,-0.0288
582,5.82,-594.18,-0.0322
583,5.83,-594.17,-0.0349
584,5.84,-594.16,-0.0291
585,5.85,-594.15,-0.0159
586,5.86,-594.14,-0.0181
587,5.87,-594.13,-0.0412
588,5.88,-594.12,-0.0365
589,5.89,-594.11,-0.0323
590,5.9,-594.1,-0.0519
591,5.91,-594.09,-0.0278
592,5.92,-594.08,0.0182
593,5.93,-594.07,0.066
594,5.94,-594.06,0.1163
595,5.95,-594.05,0.1238
596,5.96,-594.04,0.1206
597,5.97,-594.03,0.1096
598,5.98,-594.02,0.0787
599,5.99,-594.01,0.0695
600,6,-594,0.0495
601,6.01,-593.99,0.0464
602,6.02,-593.98,0.0457
603,6.03,-593.97,0.0387
604,6.04,-593.96,0.026
605,6.05,-593.95,0.042
606,6.06,-593.94,0.0373
607,6.07,-593.93,0.0377
608,6.08,-593.92,0.0356
609,6.09,-593.91,0.0344
610,6.1,-593.9,0.034
611,6.11,-593.89,0.0142
612,6.12,-593.88,0.0115
613,6.13,-593.87,0.0108
614,6.14,-593.86,0.0122
615,6.15,-593.85,0.0086
616,6.16,-593.84,-0.0064
617,6.17,-593.83,-0.0165
618,6.18,-593.82,-0.0292
619,6.19,-593.81,-0.0236
620,6.2,-593.8,-0.0258
621,6.21,-593.79,-0.0205
622,6.22,-593.78,-0.035
623,6.23,-593.77,-0.0407
624,6.24,-593.76,-0.0056
625,6.25,-593.75,0.0389
626,6.26,-593.74,0.0506
627,6.27,-593.73,0.0674
