sample_idx,t_s,t_rel_peak_s,ecg_mv
0,0,-600,0.0134
1,0.01,-599.99,-0.0409
2,0.02,-599.98,-0.0357
3,0.03,-599.97,-0.0115
4,0.04,-599.96,-0.0342
5,0.05,-599.95,-0.0521
6,0.06,-599.94,0.0373
7,0.07,-599.93,0.003
8,0.08,-599.92,0.0086
9,0.09,-599.91,-0.0228
10,0.1,-599.9,0.0066
11,0.11,-599.89,-0.0389
12,0.12,-599.88,0.0018
13,0.13,-599.87,0.054
14,0.14,-599.86,0.0841
15,0.15,-599.85,0.0585
16,0.16,-599.84,0.137
17,0.17,-599.83,0.1202
18,0.18,-599.82,0.096
19,0.19,-599.81,0.0768
20,0.2,-599.8,-0.022
21,0.21,-599.79,-0.06
22,0.22,-599.78,0.0052
23,0.23,-599.77,-0.065
24,0.24,-599.76,-0.0256
25,0.25,-599.75,-0.0579
26,0.26,-599.74,-0.0532
27,0.27,-599.73,-0.0136
28,0.28,-599.72,0.2637
29,0.29,-599.71,1.9645
30,0.3,-599.7,4.0252
31,0.31,-599.69,3.8002
32,0.32,-599.68,0.2347
33,0.33,-599.67,-0.5858
34,0.34,-599.66,-0.097
35,0.35,-599.65,-0.0753
36,0.36,-599.64,-0.0787
37,0.37,-599.63,-0.1104
38,0.38,-599.62,-0.0963
39,0.39,-599.61,-0.1105
40,0.4,-599.6,-0.1509
41,0.41,-599.59,-0.0474
42,0.42,-599.58,-0.1007
43,0.43,-599.57,-0.0967
44,0.44,-599.56,-0.152
45,0.45,-599.55,-0.0705
46,0.46,-599.54,-0.0444
47,0.47,-599.53,-0.0462
48,0.48,-599.52,-0.0916
49,0.49,-599.51,-0.1245
50,0.5,-599.5,-0.0901
51,0.51,-599.49,-0.0286
52,0.52,-599.48,-0.0321
53,0.53,-599.47,-0.0385
54,0.54,-599.46,-0.0068
55,0.55,-599.45,0.0194
56,0.56,-599.44,0.0075
57,0.57,-599.43,0.0764
58,0.58,-599.42,0.1805
59,0.59,-599.41,0.1865
60,0.6,-599.4,0.2508
61,0.61,-599.39,0.3894
62,0.62,-599.38,0.447
63,0.63,-599.37,0.4886
64,0.64,-599.36,0.5141
65,0.65,-599.35,0.5554
66,0.66,-599.34,0.5822
67,0.67,-599.33,0.4551
68,0.68,-599.32,0.3956
69,0.69,-599.31,0.3125
70,0.7,-599.3,0.1899
71,0.71,-599.29,0.1354
72,0.72,-599.28,0.0564
73,0.73,-599.27,0.0616
74,0.74,-599.26,0.082
75,0.75,-599.25,0.0604
76,0.76,-599.24,0.0773
77,0.77,-599.23,0.0446
78,0.78,-599.22,0.026
79,0.79,-599.21,0.0177
80,0.8,-599.2,-0.0307
81,0.81,-599.19,0.0031
82,0.82,-599.18,0.0576
83,0.83,-599.17,-0.0506
84,0.84,-599.16,-0.001
85,0.85,-599.15,-0.0204
86,0.86,-599.14,-0.0751
87,0.87,-599.13,0.0269
88,0.88,-599.12,0.0144
89,0.89,-599.11,-0.0143
90,0.9,-599.1,-0.0184
91,0.91,-599.09,0.0102
92,0.92,-599.08,-0.0121
93,0.93,-599.07,-0.0239
94,0.94,-599.06,-0.0511
95,0.95,-599.05,-0.0097
96,0.96,-599.04,-0.0034
97,0.97,-599.03,-0.0624
98,0.98,-599.02,-0.0124
99,0.99,-599.01,-0.0098
100,1,-599,-0.0483
101,1.01,-598.99,0.0039
102,1.02,-598.98,-0.029
103,1.03,-598.97,0.0027
104,1.04,-598.96,0.012
105,1.05,-598.95,-0.0515
106,1.06,-598.94,-0.0391
107,1.07,-598.93,-0.0043
108,1.08,-598.92,-0.0161
109,1.09,-598.91,-0.028
110,1.1,-598.9,-0.0404
111,1.11,-598.89,-0.0846
112,1.12,-598.88,-0.0333
113,1.13,-598.87,-0.0148
114,1.14,-598.86,-0.0213
115,1.15,-598.85,-0.085
116,1.16,-598.84,-0.0033
117,1.17,-598.83,0.0488
118,1.18,-598.82,0.0707
119,1.19,-598.81,0.1345
120,1.2,-598.8,0.1413
121,1.21,-598.79,0.1611
122,1.22,-598.78,0.1278
123,1.23,-598.77,0.1038
124,1.24,-598.76,0.0243
125,1.25,-598.75,-0.0072
126,1.26,-598.74,0.0199
127,1.27,-598.73,-0.0077
128,1.28,-598.72,-0.0261
129,1.29,-598.71,0.0003
130,1.3,-598.7,0.0188
131,1.31,-598.69,-0.0139
132,1.32,-598.68,0.1154
133,1.33,-598.67,1.3237
134,1.34,-598.66,3.4099
135,1.35,-598.65,4.4635
136,1.36,-598.64,1.5963
137,1.37,-598.63,-0.6655
138,1.38,-598.62,-0.0893
139,1.39,-598.61,0.0021
140,1.4,-598.6,-0.0579
141,1.41,-598.59,-0.031
142,1.42,-598.58,-0.0521
143,1.43,-598.57,-0.056
144,1.44,-598.56,-0.0409
145,1.45,-598.55,-0.0539
146,1.46,-598.54,-0.0265
147,1.47,-598.53,-0.0172
148,1.48,-598.52,-0.0195
149,1.49,-598.51,-0.0517
150,1.5,-598.5,-0.081
151,1.51,-598.49,-0.0275
152,1.52,-598.48,-0.0599
153,1.53,-598.47,-0.0638
154,1.54,-598.46,-0.0759
155,1.55,-598.45,-0.0897
156,1.56,-598.44,-0.0889
157,1.57,-598.43,-0.0896
158,1.58,-598.42,-0.0962
159,1.59,-598.41,-0.0541
160,1.6,-598.4,-0.0373
161,1.61,-598.39,0.0463
162,1.62,-598.38,0.0774
163,1.63,-598.37,0.0921
164,1.64,-598.36,0.1821
165,1.65,-598.35,0.2289
166,1.66,-598.34,0.3873
167,1.67,-598.33,0.4748
168,1.68,-598.32,0.4845
169,1.69,-598.31,0.4835
170,1.7,-598.3,0.4714
171,1.71,-598.29,0.4803
172,1.72,-598.28,0.3833
173,1.73,-598.27,0.3329
174,1.74,-598.26,0.2004
175,1.75,-598.25,0.1601
176,1.76,-598.24,0.0985
177,1.77,-598.23,0.0376
178,1.78,-598.22,-0.0138
179,1.79,-598.21,0.0217
180,1.8,-598.2,0.0708
181,1.81,-598.19,-0.022
182,1.82,-598.18,0.0022
183,1.83,-598.17,-0.0289
184,1.84,-598.16,0.0374
185,1.85,-598.15,0.0577
186,1.86,-598.14,0.1611
187,1.87,-598.13,-0.1117
188,1.88,-598.12,-0.1954
189,1.89,-598.11,-0.1476
190,1.9,-598.1,-0.0811
191,1.91,-598.09,-0.0401
192,1.92,-598.08,-0.0367
193,1.93,-598.07,0.0054
194,1.94,-598.06,-0.0071
195,1.95,-598.05,-0.0101
196,1.96,-598.04,0.05
197,1.97,-598.03,0.0018
198,1.98,-598.02,0.0194
199,1.99,-598.01,0.0212
200,2,-598,-0.0047
201,2.01,-597.99,0.027
202,2.02,-597.98,-0.0605
203,2.03,-597.97,0.025
204,2.04,-597.96,-0.0034
205,2.05,-597.95,-0.0037
206,2.06,-597.94,0.025
207,2.07,-597.93,-0.0273
208,2.08,-597.92,-0.0592
209,2.09,-597.91,-0.0397
210,2.1,-597.9,-0.0276
211,2.11,-597.89,-0.0015
212,2.12,-597.88,0.0147
213,2.13,-597.87,-0.0128
214,2.14,-597.86,-0.0292
215,2.15,-597.85,0.0511
216,2.16,-597.84,0.0048
217,2.17,-597.83,0.0591
218,2.18,-597.82,0.0973
219,2.19,-597.81,0.1364
220,2.2,-597.8,0.1253
221,2.21,-597.79,0.1112
222,2.22,-597.78,0.0658
223,2.23,-597.77,-0.0039
224,2.24,-597.76,-0.0662
225,2.25,-597.75,-0.0497
226,2.26,-597.74,-0.1037
227,2.27,-597.73,-0.0645
228,2.28,-597.72,-0.0109
229,2.29,-597.71,-0.0393
230,2.3,-597.7,-0.0317
231,2.31,-597.69,-0.0614
232,2.32,-597.68,0.9538
233,2.33,-597.67,3.0521
234,2.34,-597.66,4.5528
235,2.35,-597.65,2.0935
236,2.36,-597.64,-0.7013
237,2.37,-597.63,-0.2406
238,2.38,-597.62,-0.0253
239,2.39,-597.61,-0.0537
240,2.4,-597.6,-0.0829
241,2.41,-597.59,-0.0867
242,2.42,-597.58,-0.1012
243,2.43,-597.57,-0.0637
244,2.44,-597.56,-0.0235
245,2.45,-597.55,-0.0741
246,2.46,-597.54,-0.0801
247,2.47,-597.53,-0.0304
248,2.48,-597.52,-0.0006
249,2.49,-597.51,-0.0764
250,2.5,-597.5,-0.0418
251,2.51,-597.49,-0.0347
252,2.52,-597.48,-0.0216
253,2.53,-597.47,-0.0058
254,2.54,-597.46,-0.015
255,2.55,-597.45,-0.0426
256,2.56,-597.44,-0.0176
257,2.57,-597.43,-0.014
258,2.58,-597.42,0.0192
259,2.59,-597.41,0.0894
260,2.6,-597.4,0.1044
261,2.61,-597.39,0.0851
262,2.62,-597.38,0.1636
263,2.63,-597.37,0.2508
264,2.64,-597.36,0.3224
265,2.65,-597.35,0.4015
266,2.66,-597.34,0.4651
267,2.67,-597.33,0.515
268,2.68,-597.32,0.5451
269,2.69,-597.31,0.5635
270,2.7,-597.3,0.5214
271,2.71,-597.29,0.4661
272,2.72,-597.28,0.3332
273,2.73,-597.27,0.2708
274,2.74,-597.26,0.196
275,2.75,-597.25,0.0737
276,2.76,-597.24,0.0816
277,2.77,-597.23,0.0272
278,2.78,-597.22,0.0177
279,2.79,-597.21,0.0158
280,2.8,-597.2,0.0298
281,2.81,-597.19,-0.0063
282,2.82,-597.18,-0.0124
283,2.83,-597.17,-0.0467
284,2.84,-597.16,-0.0425
285,2.85,-597.15,-0.0396
286,2.86,-597.14,-0.0721
287,2.87,-597.13,-0.0684
288,2.88,-597.12,-0.0679
289,2.89,-597.11,-0.0703
290,2.9,-597.1,-0.0221
291,2.91,-597.09,-0.0367
292,2.92,-597.08,-0.0643
293,2.93,-597.07,-0.0128
294,2.94,-597.06,-0.0249
295,2.95,-597.05,-0.0033
296,2.96,-597.04,-0.0157
